?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000550>		
<http://purl.obolibrary.org/obo/FBbi_00000114>		
<http://purl.obolibrary.org/obo/FBbi_00000223>		
<http://purl.obolibrary.org/obo/FBbi_00000574>		
<http://purl.obolibrary.org/obo/FBbi_00000562>		
<http://purl.obolibrary.org/obo/FBbi_00000441>		
<http://purl.obolibrary.org/obo/FBbi_00000356>		
<http://purl.obolibrary.org/obo/FBbi_00000235>		
<http://purl.obolibrary.org/obo/FBbi_00000102>		
<http://purl.obolibrary.org/obo/FBbi_00000477>		
<http://purl.obolibrary.org/obo/FBbi_00000320>		
<http://purl.obolibrary.org/obo/FBbi_00000598>		
<http://purl.obolibrary.org/obo/FBbi_00000332>		
<http://purl.obolibrary.org/obo/FBbi_00000211>		
<http://purl.obolibrary.org/obo/FBbi_00000586>		
<http://purl.obolibrary.org/obo/FBbi_00000465>		
<http://purl.obolibrary.org/obo/FBbi_00000585>	"A method of reconstructing 3D structure by combining serial sectioning with scanning EM."	
<http://purl.obolibrary.org/obo/BFO_0000019>		
<http://purl.obolibrary.org/obo/FBbi_00000029>		
<http://purl.obolibrary.org/obo/FBbi_00000489>		
<http://purl.obolibrary.org/obo/FBbi_00000247>		
<http://purl.obolibrary.org/obo/FBbi_00000126>		
<http://purl.obolibrary.org/obo/FBbi_00000017>		
<http://purl.obolibrary.org/obo/FBbi_00000138>		
<http://purl.obolibrary.org/obo/FBbi_00000005>		
<http://purl.obolibrary.org/obo/FBbi_00000351>		
<http://purl.obolibrary.org/obo/FBbi_00000000>		
<http://purl.obolibrary.org/obo/FBbi_00000230>		
<http://purl.obolibrary.org/obo/FBbi_00000460>		
<http://purl.obolibrary.org/obo/FBbi_00000121>		
<http://purl.obolibrary.org/obo/FBbi_00000363>		
<http://purl.obolibrary.org/obo/FBbi_00000242>		
<http://purl.obolibrary.org/obo/BFO_0000017>	"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances."@en	
<http://purl.obolibrary.org/obo/FBbi_00000484>		
<http://purl.obolibrary.org/obo/FBbi_00000472>		
<http://purl.obolibrary.org/obo/FBbi_00000619>	"A nearfield illumination method that uses evanescent wave microscopy."	
<http://purl.obolibrary.org/obo/FBbi_00000387>		
<http://purl.obolibrary.org/obo/FBbi_00000048>		
<http://purl.obolibrary.org/obo/FBbi_00000157>		
<http://purl.obolibrary.org/obo/FBbi_00000169>		
<http://purl.obolibrary.org/obo/FBbi_00000036>		
<http://purl.obolibrary.org/obo/FBbi_00000496>		
<http://purl.obolibrary.org/obo/FBbi_00000024>		
<http://purl.obolibrary.org/obo/FBbi_00000254>		
<http://purl.obolibrary.org/obo/FBbi_00000133>		
<http://purl.obolibrary.org/obo/FBbi_00000277>	"Illumination that covers the entire field of view of the image-forming lens"	
<http://purl.obolibrary.org/obo/FBbi_00000375>		
<http://purl.obolibrary.org/obo/FBbi_00000145>		
<http://purl.obolibrary.org/obo/FBbi_00000012>		
<http://purl.obolibrary.org/obo/FBbi_00100008>	"A visualization method that detects a cyan fluorescent protein tag."	
<http://purl.obolibrary.org/obo/FBbi_00100017>	"Cryogenic serial block-face scanning electron microscopy is a volumetric imaging technique in which the surface of a biological specimen preserved in its near-native, vitrified state is imaged by a scanning electron microscope, then ablated by a focused ion beam (FIB-SEM) to reveal a new surface, enabling three-dimensional ultrastructural reconstruction of cells and tissues without the artifacts introduced by chemical fixation or resin embedding."	
<http://purl.obolibrary.org/obo/FBbi_00001003>	"Tomography using X-ray illumination."	
<http://purl.obolibrary.org/obo/FBbi_00000120>		
<http://purl.obolibrary.org/obo/FBbi_00000471>		
<http://purl.obolibrary.org/obo/FBbi_00000362>		
<http://purl.obolibrary.org/obo/FBbi_00000011>		
<http://purl.obolibrary.org/obo/FBbi_00000592>		
<http://purl.obolibrary.org/obo/FBbi_00000374>		
<http://purl.obolibrary.org/obo/FBbi_00000253>		
<http://purl.obolibrary.org/obo/FBbi_00000132>		
<http://purl.obolibrary.org/obo/FBbi_00000495>		
<http://purl.obolibrary.org/obo/FBbi_00000483>		
<http://purl.obolibrary.org/obo/FBbi_00000168>		
<http://purl.obolibrary.org/obo/FBbi_00000059>		
<http://purl.obolibrary.org/obo/FBbi_00000386>		
<http://purl.obolibrary.org/obo/FBbi_00000047>		
<http://purl.obolibrary.org/obo/FBbi_00000035>		
<http://purl.obolibrary.org/obo/FBbi_00000244>	"Imaging with rejection of the unscattered illumination (removal of the zero order component of the diffracted wave)"	
<http://purl.obolibrary.org/obo/FBbi_00000144>		
<http://purl.obolibrary.org/obo/FBbi_00000156>		
<http://purl.obolibrary.org/obo/FBbi_00000023>		
<http://purl.obolibrary.org/obo/FBbi_00000595>	"An optical anisotropy that is the result of mechanical stress in an otherwise isotropic material."	
<http://purl.obolibrary.org/obo/FBbi_00000341>		
<http://purl.obolibrary.org/obo/FBbi_00000220>		
<http://purl.obolibrary.org/obo/FBbi_00000462>		
<http://purl.obolibrary.org/obo/FBbi_00000450>		
<http://purl.obolibrary.org/obo/FBbi_00000571>		
<http://purl.obolibrary.org/obo/FBbi_00000135>		
<http://purl.obolibrary.org/obo/FBbi_00000486>		
<http://purl.obolibrary.org/obo/FBbi_00000377>		
<http://purl.obolibrary.org/obo/FBbi_00000026>		
<http://purl.obolibrary.org/obo/FBbi_00000256>		
<http://purl.obolibrary.org/obo/FBbi_00000147>		
<http://purl.obolibrary.org/obo/FBbi_00000014>		
<http://purl.obolibrary.org/obo/FBbi_00000474>		
<http://purl.obolibrary.org/obo/FBbi_00000002>		
<http://purl.obolibrary.org/obo/FBbi_00000232>		
<http://purl.obolibrary.org/obo/FBbi_00000389>		
<http://purl.obolibrary.org/obo/FBbi_00000498>		
<http://purl.obolibrary.org/obo/FBbi_00000111>		
<http://purl.obolibrary.org/obo/FBbi_00000123>		
<http://purl.obolibrary.org/obo/FBbi_00001006>		
